id,scientificName,family,lifeCycle,hardinessZone,light,toxicity,additionalInfo,imageId,
1,Asteriscus maritimus,Asteraceae,perennial,,,skin:2; cat:3,"Компактный средиземноморский кустарник, предпочитает солнце и устойчив к засухе.",,
3,Agapanthus africanus,Amaryllidaceae,perennial,H2,fullSun,eat:2,Вечнозеленый травянистый многолетник. Высота цветочных стрелок — около 80 см.,p3_0_1,
4,Bougainvillea spectabilis,Nyctaginaceae,,H1C,fullSun,,"Компактный и густой кустарник, цветущий с яркими прицветниками. Минимально допустимая ночная температура — 10° С.",p4_0_1,
5,Camellia japonica,Theaceae,,H5,partialShade,,"Вечнозеленый кустарник, цветущий весной. Бутоны нуждаются в защите от холодного ветра и утреннего солнца.",p5_0_1,
6,Gerbera jamesonii,Asteraceae,perennial,H1C,fullSun,,"Вечнозеленое растение, цветет с конца весны до конца лета. Часто выращивается как однолетник.",p6_0_1,
7,Euphorbia pulcherrima,Euphorbiaceae ,,,,,Описание заполняется,,
8,Gazania,Asteraceae,perennial,,,,Описание заполняется,p8_0_1,
9,Lamium Maculatum,Lamiaceae,,,,,Описание заполняется,,
10,Torenia fournieri,Linderniaceae ,,,,,Описание заполняется,,https://www.rhs.org.uk/plants/156813/torenia-fournieri/details
11,Spiraea japonica,Rosaceae,,,,,Описание заполняется,,
12,Pastinaca sativa,Apiaceae,biennial,,,,Описание заполняется,p12_0_1,
13_1,Allium ursinum,Amaryllidaceae,perennial,,,,Описание заполняется,,
13_2,Allium tuberosum,Amaryllidaceae,perennial,,,,Описание заполняется,p13_2_1,
13_3,Allium angulosum,,perennial,,,,Описание заполняется,p13_3_1,
14,Camassia,Asparagaceae,perennial,H4,partialShade,,"Луковичное многолетнее растение высотой до 1,2 м. Предпочитает полутень, переносит полное солнце.",p14_0_1,
15,Globularia,Plantaginaceae,perennial,,,,Описание заполняется,p15_0_1,
16,Fritillaria,Liliaceae,perennial,,,,Описание заполняется,,
17,Clematis,Ranunculaceae,perennial,,,,Описание заполняется,,
17_1,Clematis montana,Ranunculaceae,perennial,,,,Описание заполняется,p17_1_1,
18_0,Wisteria,Fabaceae,,,,,Описание заполняется,,
18_1,Wisteria sinensis,Fabaceae,,,,,Описание заполняется,p18_1_1,
18_2,Wisteria frutescens,,,,,,Описание заполняется,p18_2_1,
19,Nerium oleander,Apocynaceae,,,,,Описание заполняется,p19_0_2,
20,Sorbus,Rosaceae,,,,,Описание заполняется,,
21,Rhododendron,Ericaceae,,,,,Описание заполняется,,
22,Tulipa,Liliaceae,perennial,,,,Описание заполняется,,
23,Gardenia,Rubiaceae,,,,,Описание заполняется,,
24,Magnolia,Magnoliaceae,,,,,Описание заполняется,,
25,Leucanthemum vulgare,Asteraceae,perennial,,,,Описание заполняется,p25_0_1,
26,Dahlia,Asteraceae,perennial,,,,Описание заполняется,,
27,Echinacea,Asteraceae,perennial,,,,Описание заполняется,,
27_1,Echinacea purpurea,Asteraceae,,,,,Описание заполняется,p27_1_1,
28,Gomphrena,Amaranthaceae,annual,,,,Описание заполняется,p28_0_1,
29,Chrysanthemum,Asteraceae,perennial,,,,Описание заполняется,,
30,Osteospermum,Asteraceae,perennial,,,,Описание заполняется,p30_0_1,
31,Rosa,Rosaceae,,,,,Описание заполняется,,
31_1,Rosa canina,Rosaceae,perennial,,,,Описание заполняется,p31_1_1,
31_2,Rosa rugosa,Rosaceae,,,,,Описание заполняется,p31_2_1,
31_3,Rosa damascena,,,,,,Описание заполняется,,
31_4,Rosa multiflora,Rosaceae,,,,,Описание заполняется,,
31_5,Rosa moyesii,,,,,,Описание заполняется,,
31_6,Rosa glauca,Rosaceae,,,,,Описание заполняется,,
