taxonId;taxaGroup;scientificName;vernacularName;family;taxonLabel;ndffIdentity;threatStatus;occurenceStatus;taxaSubgroup;isAcceptedName;scientificNameAuthorship;updated
0;V;Plantae sp.;plant (soort onbekend);;0;http://ndff-ecogrid.nl/taxonomy/taxa/plantonbekend;;;;0;;08/22/2022 12:21:30
1;V;Acer campestre;Spaanse aak;Sapindaceae;0001;http://ndff-ecogrid.nl/taxonomy/taxa/acercampestre;TNB;a;S;-1;L.;03/15/2025 09:21:30
2;V;Acer pseudoplatanus;Gewone esdoorn;Sapindaceae;0002;http://ndff-ecogrid.nl/taxonomy/taxa/acerpseudoplatanus;TNB;a;S;-1;L.;08/22/2022 12:21:30
3;V;Orchis anthropophora;Poppenorchis;Orchidaceae;0003;http://ndff-ecogrid.nl/taxonomy/taxa/orchisanthropophora;BE;zzz;E;-1;(L.) All.;08/22/2022 12:21:30
4;V;Achillea millefolium;Duizendblad;Asteraceae;0004;http://ndff-ecogrid.nl/taxonomy/taxa/achilleamillefolium;TNB;a;S;-1;L.;08/22/2022 12:21:30
5;V;Achillea ptarmica;Wilde bertram;Asteraceae;0005;http://ndff-ecogrid.nl/taxonomy/taxa/achilleaptarmica;TNB;a;S;-1;L.;08/22/2022 12:21:30
6;V;Aconitum vulparia;Gele monnikskap;Ranunculaceae;0006;http://ndff-ecogrid.nl/taxonomy/taxa/aconitumvulparia;GE;zzz;S;-1;Rchb.;08/22/2022 12:21:30
7;V;Acorus calamus;Kalmoes;Acoraceae;0007;http://ndff-ecogrid.nl/taxonomy/taxa/acoruscalamus;TNB;a;E;-1;L.;08/22/2022 12:21:30
8;V;Actaea spicata;Christoffelkruid;Ranunculaceae;0008;http://ndff-ecogrid.nl/taxonomy/taxa/actaeaspicata;BE;zzz;S;-1;L.;08/22/2022 12:21:30
9;V;Adonis vernalis;Voorjaarsadonis;Ranunculaceae;0009;http://ndff-ecogrid.nl/taxonomy/taxa/adonisvernalis;L;x;S;-1;L.;08/22/2022 12:21:30
10;V;Adoxa moschatellina;Muskuskruid;Adoxaceae;0010;http://ndff-ecogrid.nl/taxonomy/taxa/adoxamoschatellina;TNB;z;S;-1;L.;08/22/2022 12:21:30
11;V;Aegopodium podagraria;Zevenblad;Apiaceae;0011;http://ndff-ecogrid.nl/taxonomy/taxa/aegopodiumpodagraria;TNB;a;S;-1;L.;08/22/2022 12:21:30
12;V;Aethusa cynapium;Hondspeterselie;Apiaceae;0012;http://ndff-ecogrid.nl/taxonomy/taxa/aethusacynapium;TNB;a;S;-1;L.;08/22/2022 12:21:30
13;V;Agrimonia eupatoria;Gewone agrimonie;Rosaceae;0013;http://ndff-ecogrid.nl/taxonomy/taxa/agrimoniaeupatoria;GE;a;S;-1;L.;08/22/2022 12:21:30
14;V;Agrimonia procera;Welriekende agrimonie;Rosaceae;0014;http://ndff-ecogrid.nl/taxonomy/taxa/agrimoniaprocera;KW;zz;S;-1;Wallr.;08/22/2022 12:21:30
15;V;Agrostemma githago;Bolderik;Caryophyllaceae;0015;http://ndff-ecogrid.nl/taxonomy/taxa/agrostemmagithago;KW;z;S;-1;L.;08/22/2022 12:21:30
16;V;Agrostis canina / vinealis;Moeras- / Zandstruisgras;Poaceae;0016;http://ndff-ecogrid.nl/taxonomy/taxa/agrostiscaninavinealis;;a;E;0;;08/22/2022 12:21:30
17;V;Agrostis gigantea;Hoog struisgras;Poaceae;0017;http://ndff-ecogrid.nl/taxonomy/taxa/agrostisgigantea;TNB;a;E;-1;Roth;08/22/2022 12:21:30
18;V;Agrostis stolonifera;Fioringras;Poaceae;0018;http://ndff-ecogrid.nl/taxonomy/taxa/agrostisstolonifera;TNB;a;E;-1;L.;08/22/2022 12:21:30
19;V;Agrostis capillaris;Gewoon struisgras;Poaceae;0019;http://ndff-ecogrid.nl/taxonomy/taxa/agrostiscapillaris;TNB;a;E;-1;L.;08/22/2022 12:21:30
20;V;Aira caryophyllea;Zilverhaver;Poaceae;0020;http://ndff-ecogrid.nl/taxonomy/taxa/airacaryophyllea;TNB;a;E;-1;L.;08/22/2022 12:21:30
21;V;Aira praecox;Vroege haver;Poaceae;0021;http://ndff-ecogrid.nl/taxonomy/taxa/airapraecox;TNB;a;E;-1;L.;08/22/2022 12:21:30
